dimension,birth,death
-1.0,inf,0.0
-1.0,0.00020883054262490992,0.0
-1.0,0.00015107851674883957,0.0
-1.0,0.00014033685711163077,0.0
-1.0,0.00013986246194019788,0.0
-1.0,0.00013052106561599254,0.0
-1.0,0.00010867117696905611,0.0
-1.0,0.00010536405760585729,0.0
-1.0,9.298753466257831e-05,0.0
-1.0,8.667026135866833e-05,0.0
-1.0,8.445932868512911e-05,0.0
-1.0,8.009783026355185e-05,0.0
-1.0,7.431020537969792e-05,0.0
-1.0,6.898819810159746e-05,0.0
-1.0,6.801305064052757e-05,0.0
-1.0,6.77113818108406e-05,0.0
-1.0,6.690254649950065e-05,0.0
-1.0,6.61712556098013e-05,0.0
-1.0,6.537461128042339e-05,0.0
-1.0,6.318209926150322e-05,0.0
-1.0,6.19716415538606e-05,0.0
-1.0,6.0236865559787395e-05,0.0
-1.0,5.949211627067511e-05,0.0
-1.0,5.930935127336004e-05,0.0
-1.0,5.886007361865867e-05,0.0
-1.0,5.799859324656004e-05,0.0
-1.0,5.6199613703466655e-05,0.0
-1.0,5.2879802197202335e-05,0.0
-1.0,5.163077386542995e-05,0.0
-1.0,5.1555762468192875e-05,0.0
-1.0,5.088159772896871e-05,0.0
-1.0,5.062826686906533e-05,0.0
-1.0,4.973703918605628e-05,0.0
-1.0,4.851303382264587e-05,0.0
-1.0,4.803950683280186e-05,0.0
-1.0,4.785725122042301e-05,0.0
-1.0,4.4578954025830936e-05,0.0
-1.0,4.366605702784835e-05,0.0
-1.0,4.344364555508761e-05,0.0
-1.0,4.3210047750928504e-05,0.0
-1.0,4.287395451281005e-05,0.0
-1.0,4.232826712308462e-05,0.0
-1.0,4.2200606470723416e-05,0.0
-1.0,4.1888504663213965e-05,0.0
-1.0,4.163480830831299e-05,0.0
-1.0,4.12420491584069e-05,0.0
-1.0,4.098464036301637e-05,0.0
-1.0,4.052479412867401e-05,0.0
-1.0,4.048742047146654e-05,0.0
-1.0,3.9633989137003246e-05,0.0
-1.0,3.928976681337748e-05,0.0
-1.0,3.897010022895343e-05,0.0
-1.0,3.8538038997848776e-05,0.0
-1.0,3.837589587215715e-05,0.0
-1.0,3.820759291168085e-05,0.0
-1.0,3.799024261907452e-05,0.0
-1.0,3.7917371990820955e-05,0.0
-1.0,3.774425222309361e-05,0.0
-1.0,3.766308290932057e-05,0.0
-1.0,3.764798444151716e-05,0.0
-1.0,3.724188220587599e-05,0.0
-1.0,3.706619854197634e-05,0.0
-1.0,3.7053312218110455e-05,0.0
-1.0,3.701702473407849e-05,0.0
-1.0,3.688432051480993e-05,0.0
-1.0,3.687343075005087e-05,0.0
-1.0,3.67365184300784e-05,0.0
-1.0,3.665430469825224e-05,0.0
-1.0,3.6607323012427255e-05,0.0
-1.0,3.658226948033059e-05,0.0
-1.0,3.6356214609342825e-05,0.0
-1.0,3.626845497634367e-05,0.0
-1.0,3.572383349237057e-05,0.0
-1.0,3.562317208149912e-05,0.0
-1.0,3.552980238662299e-05,0.0
-1.0,3.501296951504118e-05,0.0
-1.0,3.4922968008203965e-05,0.0
-1.0,3.4780161101098217e-05,0.0
-1.0,3.4637624671081044e-05,0.0
-1.0,3.4514905529422085e-05,0.0
-1.0,3.418629481658248e-05,0.0
-1.0,3.376156779752701e-05,0.0
-1.0,3.3665448623684267e-05,0.0
-1.0,3.353283131501929e-05,0.0
-1.0,3.350614920907122e-05,0.0
-1.0,3.337693052478071e-05,0.0
-1.0,3.333877437300825e-05,0.0
-1.0,3.32504259257436e-05,0.0
-1.0,3.3182549824010284e-05,0.0
-1.0,3.29181444059904e-05,0.0
-1.0,3.287344559800443e-05,0.0
-1.0,3.279425708948269e-05,0.0
-1.0,3.26487849640512e-05,0.0
-1.0,3.262149562509489e-05,0.0
-1.0,3.2514538176688944e-05,0.0
-1.0,3.2496636754546214e-05,0.0
-1.0,3.2164614970224225e-05,0.0
-1.0,3.2071905104781364e-05,0.0
-1.0,3.204297615710579e-05,0.0
-1.0,3.1693396176537156e-05,0.0
-1.0,3.154333410029067e-05,0.0
-1.0,3.1256667803888346e-05,0.0
-1.0,3.076002547013484e-05,0.0
-1.0,3.0434034909885713e-05,0.0
-1.0,3.0429328427002916e-05,0.0
-1.0,3.0045947045646743e-05,0.0
-1.0,2.9838502533675793e-05,0.0
-1.0,2.969707813170835e-05,0.0
-1.0,2.944537179265899e-05,0.0
-1.0,2.9039441516434535e-05,0.0
-1.0,2.89639933715058e-05,0.0
-1.0,2.887996387332467e-05,0.0
-1.0,2.8803079146761514e-05,0.0
-1.0,2.8098482167735406e-05,0.0
-1.0,2.7819209426956045e-05,0.0
-1.0,2.776791776540819e-05,0.0
-1.0,2.7725704866284877e-05,0.0
-1.0,2.7684190029925594e-05,0.0
-1.0,2.765183549989093e-05,0.0
-1.0,2.7598562192077833e-05,0.0
-1.0,2.7569806820649448e-05,0.0
-1.0,2.7502847503661527e-05,0.0
-1.0,2.7486595259415236e-05,0.0
-1.0,2.702197180334503e-05,0.0
-1.0,2.6992722633843733e-05,0.0
-1.0,2.6969099288054567e-05,0.0
-1.0,2.6866812694346484e-05,0.0
-1.0,2.6831977385153752e-05,0.0
-1.0,2.6653455700179093e-05,0.0
-1.0,2.6642011597539616e-05,0.0
-1.0,2.6482887655808678e-05,0.0
-1.0,2.6348813470353394e-05,0.0
-1.0,2.63097603980317e-05,0.0
-1.0,2.625206102202747e-05,0.0
-1.0,2.610323335080412e-05,0.0
-1.0,2.5937749097026518e-05,0.0
-1.0,2.5843452989888187e-05,0.0
-1.0,2.5756139987592683e-05,0.0
-1.0,2.5654118673979713e-05,0.0
-1.0,2.5620883409125266e-05,0.0
-1.0,2.5546875285311613e-05,0.0
-1.0,2.5510082391584394e-05,0.0
-1.0,2.5467340354436602e-05,0.0
-1.0,2.533833672167599e-05,0.0
-1.0,2.5331923747842e-05,0.0
-1.0,2.532100910729727e-05,0.0
-1.0,2.5278660295579692e-05,0.0
-1.0,2.522206759525921e-05,0.0
-1.0,2.5159274088410874e-05,0.0
-1.0,2.512930046942685e-05,0.0
-1.0,2.5117524152259997e-05,0.0
-1.0,2.4993216354944305e-05,0.0
-1.0,2.492250663451684e-05,0.0
-1.0,2.4778388701767997e-05,0.0
-1.0,2.4765786083908714e-05,0.0
-1.0,2.472997982702424e-05,0.0
-1.0,2.45044099958176e-05,0.0
-1.0,2.4503184254338738e-05,0.0
-1.0,2.434992820588223e-05,0.0
-1.0,2.4310019116387116e-05,0.0
-1.0,2.423764986007595e-05,0.0
-1.0,2.420624028121821e-05,0.0
-1.0,2.419165252227139e-05,0.0
-1.0,2.4034259667965485e-05,0.0
-1.0,2.3954336266645366e-05,0.0
-1.0,2.3942921267974416e-05,0.0
-1.0,2.3799567338460242e-05,0.0
-1.0,2.3656186729547005e-05,0.0
-1.0,2.3593317764882935e-05,0.0
-1.0,2.357797360284083e-05,0.0
-1.0,2.3566479759201483e-05,0.0
-1.0,2.3543437224298048e-05,0.0
-1.0,2.3505447023108393e-05,0.0
-1.0,2.3455527837854525e-05,0.0
-1.0,2.3418845141631817e-05,0.0
-1.0,2.331880048042886e-05,0.0
-1.0,2.3276312344198515e-05,0.0
-1.0,2.3161163459878222e-05,0.0
-1.0,2.3128718580607953e-05,0.0
-1.0,2.2952151157833578e-05,0.0
-1.0,2.276800964459417e-05,0.0
-1.0,2.2614417729676923e-05,0.0
-1.0,2.2545526392804798e-05,0.0
-1.0,2.252436206464749e-05,0.0
