birth,death,k dimension
6.0,inf,0.0
6.0,8.0,0.0
6.0,8.0,0.0
6.0,8.0,0.0
6.0,8.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
7.0,8.0,0.0
7.0,8.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
7.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
11.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
6.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
11.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
