k,Filtration,Total Persistence,Total Persistence Std,Entropy,Entropy Std
2,Degree,0.26,0.017,0.325,0.0
2,VR,-,-,-,-
2,OR,0.225,0.046,0.335,0.032
2,Betweenness,0.367,0.034,0.48,0.027
2,Laplacian,0.125,0.0,0.253,0.008
2,Sum density cycles,0.25,0.027,0.405,0.019
5,Degree,0.475,0.025,0.24,0.036
5,VR,-,-,-,-
5,OR,0.58,0.031,0.388,0.044
5,Betweenness,0.4,0.032,0.445,0.024
5,Laplacian,0.17,0.033,0.113,0.036
5,Sum density cycles,0.517,0.028,0.285,0.048
10,Degree,0.38,0.027,0.287,0.036
10,VR,-,-,-,-
10,OR,0.562,0.036,0.383,0.032
10,Betweenness,0.495,0.038,0.303,0.036
10,Laplacian,0.243,0.028,0.172,0.053
10,Sum density cycles,0.362,0.034,0.49,0.032
15,Degree,0.6,0.025,0.557,0.032
15,VR,-,-,-,-
15,OR,0.422,0.028,0.367,0.051
15,Betweenness,0.555,0.037,0.538,0.028
15,Laplacian,0.368,0.039,0.525,0.034
15,Sum density cycles,0.455,0.038,0.535,0.034
20,Degree,0.525,0.04,0.425,0.043
20,VR,-,-,-,-
20,OR,0.495,0.031,0.485,0.039
20,Betweenness,0.495,0.027,0.615,0.02
20,Laplacian,0.487,0.032,0.465,0.034
20,Sum density cycles,0.343,0.034,0.555,0.027
